Rule,Previous,Issues,Files,Commits,Milliseconds,AvgI,AvgF,Prediction
space-after-keywords,0,0,0,0,0,0.0,0.0,2
no-wrap-func,0,0.002849831336512737,0.8666666666666667,0,18503664000,0.0005699662673025474,0.17333333333333334,2
no-undef,0,0.0025590322205420496,0.13333333333333333,0,40543000,0.0005118064441084099,0.026666666666666665,2
no-undef,2,0,0,0,3190396000,0.0,0.0,0
no-extra-parens,1,0.008375014539955799,0.11666666666666667,0,60942405000,0.0016750029079911598,0.023333333333333334,2
no-with,2,0,0,0,95880525000,0.0,0.0,0
no-useless-return,-1,0,0,0,0,0.0,0.0,0
no-alert,0,0,0,0,96140531000,0.0,0.0,2
no-native-reassign,0,0,0,0,96140531000,0.0,0.0,2
no-unused-labels,-1,0,0,0,149078000,0.0,0.0,2
arrow-spacing,0,0,0,0,0,0.0,0.0,2
capitalized-comments,-1,0,0,0,0,0.0,0.0,0
no-inline-comments,-1,0,0,0,0,0.0,0.0,0
prefer-destructuring,-1,0,0,0,0,0.0,0.0,0
no-delete-var,0,0,0,0,0,0.0,0.0,2
func-names,-1,0,0,0,0,0.0,0.0,0
no-multiple-empty-lines,-1,0,0,0,0,0.0,0.0,0
sort-imports,-1,0,0,0,0,0.0,0.0,0
no-eval,-1,0,0,0,105538000,0.0,0.0,2
multiline-ternary,-1,0,0,0,0,0.0,0.0,0
no-sequences,2,0,0,0,3086973000,0.0,0.0,0
no-empty-label,-1,0,0,0,0,0.0,0.0,0
no-use-before-define,0,0.03516778523489933,0.7950819672131147,0,3086973000,0.0070335570469798655,0.15901639344262294,2
block-scoped-var,2,0,0,0,150971000,0.0,0.0,1
camelcase,2,0,0,0,9786984000,0.0,0.0,1
block-scoped-var,1,0.05873825503355705,0.8497267759562842,0,1723270000,0.01174765100671141,0.16994535519125684,2
no-space-before-semi,2,0,0,0,76922000,0.0,0.0,0
handle-callback-err,-1,0,0,0,0,0.0,0.0,0
space-return-throw-case,2,0,0,0,42738404000,0.0,0.0,0
no-div-regex,-1,0,0,0,0,0.0,0.0,0
no-shadow-restricted-names,-1,0,0,0,0,0.0,0.0,2
lines-between-class-members,-1,0,0,0,0,0.0,0.0,0
no-regex-spaces,2,0,0,0,30486481000,0.0,0.0,0
arrow-spacing,2,0,NaN,0,21857939000,0.0,nan,0
no-floating-decimal,2,0,NaN,0,21857939000,0.0,nan,0
operator-assignment,-1,0,NaN,0,0,0.0,nan,0
no-caller,0,0,NaN,0,21857939000,0.0,nan,2
template-tag-spacing,0,0,NaN,0,21857939000,0.0,nan,2
camelcase,2,0,0,0,9981422000,0.0,0.0,2
no-empty-character-class,2,0,NaN,0,40035825000,0.0,nan,2
no-array-constructor,2,0,0,0,11061079000,0.0,0.0,2
no-self-assign,2,0,0,0,17471222000,0.0,0.0,2
no-case-declarations,2,0,0,0,114953416000,0.0,0.0,2
no-trailing-spaces,0,0,0,0,0,0.0,0.0,0
semi-spacing,2,0.1894280205655527,0.9130434782608695,0,18535956000,0.03788560411311054,0.1826086956521739,2
semi-style,0,0,0,0,0,0.0,0.0,0
lines-around-directive,0,0,0,0,0,0.0,0.0,0
no-extra-parens,0,0,0,0,30486481000,0.0,0.0,0
no-eval,2,0,0,0,7092332000,0.0,0.0,2
no-constant-condition,2,0.008590604026845637,0.03278688524590164,0,183177000,0.0017181208053691274,0.006557377049180328,2
no-eval,2,0,0,0,28253696000,0.0,0.0,2
arrow-parens,0,0,0,0,0,0.0,0.0,0
space-before-blocks,0,0,0,0,0,0.0,0.0,0
no-whitespace-before-property,0,0,0,0,0,0.0,0.0,0
block-scoped-var,0,0,0,0,0,0.0,0.0,0
no-implied-eval,2,0,0,0,38699963000,0.0,0.0,2
prefer-numeric-literals,2,0,0,0,46220848000,0.0,0.0,2
no-multiple-empty-lines,0,0,0,0,0,0.0,0.0,0
no-regex-spaces,2,0,0,0,78656835000,0.0,0.0,2
no-label-var,2,0,0,0,94060696000,0.0,0.0,2
guard-for-in,2,0,0,0,13420078000,0.0,0.0,2
space-in-brackets,0,0,0,0,0,0.0,0.0,0
space-after-keywords,0,0,0,0,13028000,0.0,0.0,0
no-self-compare,2,0,0,0,32398095000,0.0,0.0,2
jsx-quotes,0,0,0,0,0,0.0,0.0,0
newline-after-var,0,0,0,0,0,0.0,0.0,0
no-negated-in-lhs,2,0,0,0,52106255000,0.0,0.0,2
sort-imports,0,0,0,0,0,0.0,0.0,0
space-after-keywords,0,0,0,0,13028000,0.0,0.0,0
no-path-concat,2,0,0,0,52122268000,0.0,0.0,2
no-extend-native,2,0,0,0,54079408000,0.0,0.0,2
space-before-function-paren,0,0,0,0,0,0.0,0.0,0
no-template-curly-in-string,0,0,0,0,0,0.0,0.0,0
func-names,0,0,0,0,0,0.0,0.0,0
no-self-compare,2,0,0,0,27036601000,0.0,0.0,2
object-curly-spacing,0,0,0,0,0,0.0,0.0,0
rest-spread-spacing,2,0,0,0,2295429000,0.0,0.0,2
no-delete-var,2,0,0,0,15566735000,0.0,0.0,2
no-shadow-restricted-names,2,0,0,0,49330206000,0.0,0.0,2
linebreak-style,0,0,0,0,0,0.0,0.0,0
no-case-declarations,2,0,0,0,88008827000,0.0,0.0,2
no-dupe-args,2,0,0,0,21877247000,0.0,0.0,2
no-dupe-args,2,0,NaN,0,4889527000,0.0,nan,2
symbol-description,0,0,0,0,0,0.0,0.0,0
template-tag-spacing,0,0,0,0,0,0.0,0.0,0
no-debugger,0,0,0,0,30486481000,0.0,0.0,0
no-multi-spaces,0,0,0,0,0,0.0,0.0,0
brace-style,0,0,0,0,0,0.0,0.0,0
no-case-declarations,2,0,0,0,98233718000,0.0,0.0,2
no-implied-eval,0,0,0,0,30486481000,0.0,0.0,0
space-before-blocks,2,0.027451436547632897,0.8,0,56713671000,0.00549028730952658,0.16,2
class-methods-use-this,0,0,0,0,5933000,0.0,0.0,0
no-restricted-modules,0,0,0,0,0,0.0,0.0,0
no-eval,0,0,0,0,96140531000,0.0,0.0,0
no-redeclare,2,0,0,0,22281637000,0.0,0.0,2
space-after-keywords,0,0,0,0,21167592000,0.0,0.0,0
no-extra-semi,0,0,0,0,0,0.0,0.0,0
no-debugger,2,0,0,0,12091336000,0.0,0.0,2
no-case-declarations,2,0,0,0,98257464000,0.0,0.0,2
array-element-newline,0,0,0,0,0,0.0,0.0,0
line-comment-position,0,0,0,0,0,0.0,0.0,0
id-length,0,0,0,0,0,0.0,0.0,0
no-async-promise-executor,0,0,0,0,0,0.0,0.0,0
no-unused-expressions,0,0,0,0,0,0.0,0.0,0
no-floating-decimal,0,0,0,0,0,0.0,0.0,0
no-new-symbol,2,0,0,0,30357395000,0.0,0.0,2
no-caller,2,0,NaN,0,19319534000,0.0,nan,2
no-const-assign,2,0,0,0,30389385000,0.0,0.0,2
vars-on-top,2,0,0,0,11520037000,0.0,0.0,2
brace-style,0,0,0,0,0,0.0,0.0,0
space-return-throw-case,0,0,0,0,32670074000,0.0,0.0,0
no-case-declarations,2,0,0,0,135157401000,0.0,0.0,2
no-proto,2,0,0,0,12655744000,0.0,0.0,2
no-case-declarations,2,0,0,0,142500278000,0.0,0.0,2
no-constant-condition,2,0,0,0,46050237000,0.0,0.0,2
no-new,0,0,0,0,0,0.0,0.0,0
require-jsdoc,0,0,0,0,0,0.0,0.0,0
no-redeclare,1,0,0,0,0,0.0,0.0,1
no-new-wrappers,2,0,0,0,7790278000,0.0,0.0,2
block-scoped-var,0,0,0,0,30486481000,0.0,0.0,0
